grupo,variable,descripcion,unidad,relevancia,justificacion
CRÉDITO_BANCARIO,tloans,Préstamos totales del sector bancario / PIB,fracción,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
CRÉDITO_BANCARIO,tmort,Préstamos hipotecarios totales / PIB,fracción,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
CRÉDITO_BANCARIO,tloans_gap,Brecha crédito/PIB respecto a tendencia HP (λ=400) — indicador macroprudencial BIS,pp. de PIB,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
CRÉDITO_BANCARIO,tloans_growth,Tasa de crecimiento anual del crédito bancario total/PIB,fracción,ALTA,"Préstamos totales y préstamos hipotecarios del sector bancario, ambos normalizados por PIB. El crecimiento del crédito bancario es, según Schularick & Taylor (2012), el mejor predictor individual de crisis bancarias sistémicas en una muestra de 150 años. Un auge crediticio sostenido por encima de la"
ESTRUCTURA_BANCARIA,lev,Apalancamiento bancario (activos/fondos propios),ratio,ALTA,Indicadores de la fragilidad estructural del balance bancario. El apalancamiento (lev) captura el riesgo de insolvencia ante shocks de valoración de activos. La ratio préstamos/depósitos (ltd) señala la dependencia de financiación mayorista: cuando supera 1 el banco financia crédito con deuda de mer
ESTRUCTURA_BANCARIA,ltd,Ratio préstamos/depósitos,ratio,ALTA,Indicadores de la fragilidad estructural del balance bancario. El apalancamiento (lev) captura el riesgo de insolvencia ante shocks de valoración de activos. La ratio préstamos/depósitos (ltd) señala la dependencia de financiación mayorista: cuando supera 1 el banco financia crédito con deuda de mer
ESTRUCTURA_BANCARIA,noncore,Pasivos no-depósito del banco / activos,fracción,ALTA,Indicadores de la fragilidad estructural del balance bancario. El apalancamiento (lev) captura el riesgo de insolvencia ante shocks de valoración de activos. La ratio préstamos/depósitos (ltd) señala la dependencia de financiación mayorista: cuando supera 1 el banco financia crédito con deuda de mer
PRECIOS_ACTIVOS,hpnom,Índice de precios nominales de vivienda,índice,ALTA,Precios nominales de vivienda y plusvalías anuales del mercado inmobiliario y bursátil. Borio & Lowe (2002) documentan que la combinación de auge crediticio y auge de precios de activos (especialmente inmobiliarios) es el predictor más robusto de crisis bancarias. La caída brusca de estos precios pu
PRECIOS_ACTIVOS,housing_capgain,Plusvalía inmobiliaria anual,fracción,ALTA,Precios nominales de vivienda y plusvalías anuales del mercado inmobiliario y bursátil. Borio & Lowe (2002) documentan que la combinación de auge crediticio y auge de precios de activos (especialmente inmobiliarios) es el predictor más robusto de crisis bancarias. La caída brusca de estos precios pu
PRECIOS_ACTIVOS,eq_capgain,Plusvalía bursátil anual,fracción,MEDIA,Precios nominales de vivienda y plusvalías anuales del mercado inmobiliario y bursátil. Borio & Lowe (2002) documentan que la combinación de auge crediticio y auge de precios de activos (especialmente inmobiliarios) es el predictor más robusto de crisis bancarias. La caída brusca de estos precios pu
